Model,Acc,Precision,Recall,F1,AUC,FP,FN
RGB-only (Stage 1),0.9735839471678943,0.9750346740638003,0.9836098340995403,0.9793034825870647,0.9944163421835439,126,82
Thermal-only,0.9977139954279909,0.9993989180524945,0.9970017989206477,0.998198919351611,0.9999908101116342,3,15
EarlyFusion_4ch,0.9953009906019812,0.9985943775100402,0.9940035978412952,0.996293699288791,0.9999518227064458,7,30
LateFusion_Standard,0.3751587503175006,0.5171985080812267,0.24945032980211873,0.3365695792880259,0.4209766024746002,1165,3755
LateFusion_CostSens,0.3751587503175006,0.5171985080812267,0.24945032980211873,0.3365695792880259,0.4209766024746002,1165,3755
